code_column,OriginalDispositionID,n_cases,has_sentence_rate,has_plea_rate,has_verdict_rate,has_disposition_date_rate,unique_cases,unique_bookings
OriginalDispositionID,171.0,66982,0.9999402824639455,0.9996416947836733,0.002224478218028724,1.0,66807,60300
OriginalDispositionID,147.0,44933,0.9977967195602341,0.0002002982217968976,0.0,1.0,44825,39248
OriginalDispositionID,,31856,0.0,0.0,0.0,0.05794826720241085,30035,23299
OriginalDispositionID,95.0,16856,0.9994660654959658,0.0005339345040341718,0.0,1.0,16790,14367
OriginalDispositionID,87.0,14450,0.9998615916955017,0.9982698961937716,0.9978546712802768,1.0,14341,13625
OriginalDispositionID,143.0,10985,0.9995448338643604,0.0,0.0,1.0,10960,9940
OriginalDispositionID,101.0,8314,0.9997594419052201,0.9980755352417608,0.010704835217705076,1.0,8295,7992
OriginalDispositionID,152.0,8305,0.9990367248645394,0.0007224563515954244,0.0,1.0,8286,7939
OriginalDispositionID,84.0,8119,0.9996304963665475,0.9934721024756743,0.9934721024756743,1.0,7558,6165
OriginalDispositionID,20.0,7152,0.74748322147651,0.3610178970917226,0.01552013422818792,1.0,7037,6366
OriginalDispositionID,37.0,6951,0.0,0.0,0.0,1.0,6195,5234
OriginalDispositionID,141.0,6614,0.9998488055639553,0.9983368612035077,0.00015119443604475356,1.0,6598,6147
OriginalDispositionID,83.0,6052,0.9998347653668209,0.9976867151354925,0.9973562458691342,1.0,5982,5184
OriginalDispositionID,16.0,6004,0.0014990006662225182,0.0034976682211858763,0.002331778814123917,1.0,2613,2384
OriginalDispositionID,72.0,4962,0.8037081821846029,0.35308343409915355,0.3512696493349456,1.0,4883,4528
OriginalDispositionID,26.0,4692,0.00042625745950554135,0.00021312872975277067,0.00021312872975277067,1.0,3938,3102
OriginalDispositionID,1.0,3299,0.001515610791148833,0.0009093664746892998,0.0012124886329190664,1.0,3128,2578
OriginalDispositionID,32.0,2274,0.00043975373790677223,0.0,0.0,1.0,2038,1808
OriginalDispositionID,98.0,1817,1.0,0.9994496422674739,0.023665382498624106,1.0,1812,1790
OriginalDispositionID,65.0,1778,0.0,0.0,0.0,1.0,1764,1683
OriginalDispositionID,31.0,1263,0.000791765637371338,0.0,0.0,1.0,1195,1072
OriginalDispositionID,150.0,1085,1.0,0.0,0.0,1.0,1039,963
OriginalDispositionID,85.0,982,0.0,0.0,0.0,1.0,720,676
OriginalDispositionID,27.0,810,0.0,0.0,0.0,1.0,789,760
OriginalDispositionID,24.0,772,0.0,0.0,0.0,1.0,531,431
OriginalDispositionID,159.0,736,1.0,0.0,0.0,1.0,699,652
OriginalDispositionID,149.0,658,1.0,0.0,0.0,1.0,641,610
OriginalDispositionID,156.0,435,1.0,0.0,0.0,1.0,433,387
OriginalDispositionID,25.0,324,0.0030864197530864196,0.0030864197530864196,0.0030864197530864196,1.0,321,281
OriginalDispositionID,160.0,310,1.0,0.0,0.0,1.0,309,286
OriginalDispositionID,154.0,283,1.0,0.0,0.0,1.0,282,223
OriginalDispositionID,168.0,220,0.9954545454545455,0.990909090909091,0.031818181818181815,1.0,220,182
OriginalDispositionID,151.0,210,0.9952380952380953,0.0,0.0,1.0,210,180
OriginalDispositionID,148.0,157,1.0,0.0,0.0,1.0,153,133
OriginalDispositionID,140.0,130,1.0,1.0,0.0,1.0,130,121
OriginalDispositionID,29.0,126,0.0,0.0,0.0,1.0,119,103
OriginalDispositionID,69.0,113,0.0,0.9911504424778761,0.9911504424778761,1.0,55,48
OriginalDispositionID,181.0,101,1.0,0.9603960396039604,0.9405940594059405,1.0,100,87
OriginalDispositionID,79.0,92,0.9782608695652174,0.03260869565217391,0.03260869565217391,1.0,85,68
OriginalDispositionID,15.0,89,0.033707865168539325,0.056179775280898875,0.033707865168539325,1.0,26,26
OriginalDispositionID,64.0,42,1.0,1.0,1.0,1.0,25,23
OriginalDispositionID,142.0,38,0.9736842105263158,0.0,0.0,1.0,38,37
OriginalDispositionID,51.0,37,1.0,1.0,1.0,1.0,37,14
OriginalDispositionID,67.0,36,0.0,0.4722222222222222,0.3055555555555556,1.0,33,28
OriginalDispositionID,11.0,29,0.13793103448275862,0.0,0.0,1.0,18,11
OriginalDispositionID,33.0,27,0.0,0.0,0.0,1.0,26,22
OriginalDispositionID,78.0,25,1.0,0.04,0.04,1.0,25,21
OriginalDispositionID,81.0,25,1.0,0.0,0.0,1.0,25,22
OriginalDispositionID,68.0,25,0.0,0.76,0.76,1.0,22,20
OriginalDispositionID,155.0,17,1.0,0.0,0.0,1.0,17,13
OriginalDispositionID,161.0,15,1.0,0.0,0.0,1.0,15,14
OriginalDispositionID,182.0,13,0.9230769230769231,0.9230769230769231,0.8461538461538461,1.0,13,12
OriginalDispositionID,162.0,10,1.0,0.0,0.0,1.0,10,0
OriginalDispositionID,153.0,8,1.0,0.0,0.0,1.0,8,7
OriginalDispositionID,172.0,7,1.0,0.2857142857142857,0.0,1.0,6,6
OriginalDispositionID,183.0,7,1.0,0.5714285714285714,0.5714285714285714,1.0,6,5
OriginalDispositionID,18.0,6,1.0,0.5,0.5,1.0,2,2
OriginalDispositionID,3.0,6,0.0,1.0,1.0,1.0,2,2
OriginalDispositionID,2.0,5,0.0,1.0,1.0,1.0,3,3
OriginalDispositionID,17.0,4,0.0,0.0,0.0,1.0,1,1
OriginalDispositionID,82.0,4,1.0,0.0,0.0,1.0,4,4
OriginalDispositionID,158.0,3,1.0,0.0,0.0,1.0,3,3
OriginalDispositionID,170.0,3,1.0,0.0,0.0,1.0,2,0
OriginalDispositionID,30.0,2,0.0,0.0,0.0,1.0,2,1
OriginalDispositionID,197.0,2,1.0,0.0,0.0,1.0,2,2
OriginalDispositionID,96.0,2,1.0,0.0,0.0,1.0,2,1
OriginalDispositionID,14.0,2,0.5,1.0,1.0,1.0,2,0
OriginalDispositionID,6.0,1,1.0,0.0,0.0,1.0,1,1
OriginalDispositionID,5.0,1,1.0,1.0,1.0,1.0,1,1
OriginalDispositionID,13.0,1,1.0,0.0,0.0,1.0,1,1
OriginalDispositionID,28.0,1,0.0,0.0,0.0,1.0,1,0
OriginalDispositionID,74.0,1,1.0,0.0,0.0,1.0,1,1
